	Date:29-10-18	Time: 01-42-59
FV:0	FI:0	FL:0	UV:0.04	SHH:-13.84	PT:461.48	DST:23.98	Res:0.00	HS:384	TQ:2	RI:0	TI:24.25	Date:29-10-18	Time: 07-15-44
FV:0	FI:0	FL:0	UV:0.05	SHH:-13.84	PT:461.48	DST:23.93	Res:0.00	HS:383	TQ:2	RI:0	TI:32.19	Date:29-10-18	Time: 07-25-30
FV:0	FI:0	FL:0	UV:0.05	SHH:-13.84	PT:460.89	DST:23.88	Res:0.00	HS:384	TQ:2	RI:0	TI:25.44	Date:29-10-18	Time: 07-35-15
FV:0	FI:0	FL:0	UV:0.04	SHH:-13.84	PT:460.89	DST:23.82	Res:0.00	HS:384	TQ:2	RI:0	TI:23.05	Date:29-10-18	Time: 07-45-01
FV:0	FI:0	FL:0	UV:-0.00	SHH:-13.84	PT:460.89	DST:23.77	Res:0.00	HS:382	TQ:2	RI:0	TI:30.21	Date:29-10-18	Time: 07-54-47
FV:0	FI:0	FL:0	UV:-0.03	SHH:-13.84	PT:460.89	DST:23.71	Res:0.00	HS:384	TQ:2	RI:0	TI:21.86	Date:29-10-18	Time: 08-04-32
FV:0	FI:0	FL:0	UV:0.04	SHH:-13.84	PT:460.89	DST:23.66	Res:0.00	HS:384	TQ:2	RI:0	TI:21.86	Date:29-10-18	Time: 08-14-18
FV:0	FI:0	FL:0	UV:0.04	SHH:-13.84	PT:460.89	DST:23.61	Res:0.00	HS:383	TQ:2	RI:0	TI:28.62	Date:29-10-18	Time: 08-24-03
FV:0	FI:0	FL:0	UV:0.04	SHH:-13.84	PT:460.89	DST:23.55	Res:0.00	HS:387	TQ:2	RI:0	TI:23.85	Date:29-10-18	Time: 08-33-49
FV:0	FI:0	FL:0	UV:0.05	SHH:-13.84	PT:460.89	DST:23.50	Res:0.00	HS:384	TQ:2	RI:0	TI:22.26	Date:29-10-18	Time: 08-43-34
FV:0	FI:0	FL:0	UV:-0.00	SHH:-13.84	PT:460.89	DST:23.44	Res:0.00	HS:383	TQ:2	RI:0	TI:21.46	Date:29-10-18	Time: 08-53-20
FV:0	FI:0	FL:0	UV:-0.06	SHH:-13.84	PT:460.89	DST:23.39	Res:0.00	HS:384	TQ:2	RI:0	TI:21.46	Date:29-10-18	Time: 09-03-05
FV:0	FI:0	FL:0	UV:-0.03	SHH:-13.84	PT:460.89	DST:23.34	Res:0.00	HS:387	TQ:2	RI:0	TI:26.63	Date:29-10-18	Time: 09-12-51
FV:0	FI:0	FL:0	UV:-0.05	SHH:-13.84	PT:460.89	DST:23.28	Res:0.00	HS:384	TQ:2	RI:0	TI:26.63	Date:29-10-18	Time: 09-22-36
FV:0	FI:0	FL:0	UV:-0.00	SHH:-13.84	PT:460.89	DST:23.23	Res:0.00	HS:386	TQ:2	RI:0	TI:22.66	Date:29-10-18	Time: 09-32-21
FV:0	FI:0	FL:0	UV:0.05	SHH:-13.84	PT:460.89	DST:23.17	Res:0.00	HS:386	TQ:2	RI:0	TI:30.60	Date:29-10-18	Time: 09-42-06
FV:0	FI:0	FL:0	UV:-0.06	SHH:-13.84	PT:460.89	DST:23.12	Res:0.00	HS:388	TQ:2	RI:0	TI:24.25	Date:29-10-18	Time: 09-51-52
