created_at,entry_id,field1,field2,field3,field4,field5,field6
2019-01-15 22:49:45 UTC,16891,0.0,24.31,378.0,2.0,0.0,
2019-01-15 22:59:44 UTC,16892,0.0,24.26,376.0,2.0,0.0,
2019-01-15 23:09:44 UTC,16893,0.0,24.2,377.0,2.0,0.0,
2019-01-15 23:19:44 UTC,16894,0.0,24.09,375.0,2.0,0.0,
2019-01-15 23:29:43 UTC,16895,0.0,24.04,376.0,2.0,0.0,
2019-01-15 23:39:42 UTC,16896,0.0,23.93,379.0,2.0,0.0,
2019-01-15 23:49:42 UTC,16897,0.0,23.88,380.0,2.0,0.0,
2019-01-15 23:59:41 UTC,16898,0.0,23.82,378.0,2.0,0.0,
2019-01-16 00:09:40 UTC,16899,0.0,23.71,382.0,2.0,0.0,
2019-01-16 00:19:39 UTC,16900,0.0,23.66,379.0,2.0,0.0,
2019-01-16 00:29:38 UTC,16901,0.0,23.61,380.0,2.0,0.0,
2019-01-16 00:39:37 UTC,16902,0.0,23.55,381.0,2.0,0.0,
2019-01-16 00:49:37 UTC,16903,0.0,23.5,386.0,2.0,0.0,
2019-01-16 00:59:36 UTC,16904,0.0,23.44,381.0,2.0,0.0,
2019-01-16 01:09:35 UTC,16905,0.0,23.44,387.0,2.0,0.0,
2019-01-16 01:19:34 UTC,16906,0.0,23.39,381.0,2.0,0.0,
2019-01-16 01:29:33 UTC,16907,0.0,23.39,385.0,2.0,0.0,
2019-01-16 01:39:32 UTC,16908,0.0,23.34,387.0,2.0,0.0,
2019-01-16 01:49:31 UTC,16909,0.0,23.28,384.0,2.0,0.0,
2019-01-16 01:59:30 UTC,16910,0.0,23.28,384.0,2.0,0.0,
2019-01-16 02:09:29 UTC,16911,0.0,23.23,387.0,2.0,0.0,
2019-01-16 02:19:28 UTC,16912,0.0,23.17,388.0,2.0,0.0,
2019-01-16 02:29:28 UTC,16913,0.0,23.17,388.0,2.0,0.0,
2019-01-16 02:39:27 UTC,16914,0.0,23.17,388.0,2.0,0.0,
2019-01-16 02:49:26 UTC,16915,0.0,23.12,387.0,2.0,0.0,
2019-01-16 02:59:25 UTC,16916,0.0,23.12,386.0,2.0,0.0,
2019-01-16 03:09:24 UTC,16917,0.0,23.12,391.0,2.0,0.0,
2019-01-16 03:19:23 UTC,16918,0.0,23.07,387.0,2.0,0.0,
2019-01-16 03:29:22 UTC,16919,0.0,23.07,393.0,2.0,0.0,
2019-01-16 03:39:21 UTC,16920,0.0,23.07,393.0,2.0,0.0,
2019-01-16 03:49:20 UTC,16921,0.0,23.07,390.0,2.0,0.0,
2019-01-16 03:59:19 UTC,16922,0.0,23.07,394.0,2.0,0.0,
2019-01-16 04:09:19 UTC,16923,0.0,23.01,390.0,2.0,0.0,
2019-01-16 04:19:18 UTC,16924,0.0,23.01,389.0,2.0,0.0,
2019-01-16 04:29:17 UTC,16925,0.0,23.01,388.0,2.0,0.0,
2019-01-16 04:39:16 UTC,16926,0.0,22.96,387.0,2.0,0.0,
