created_at,entry_id,field1,field2,field3,field4,field5,field6
2019-02-18 15:30:37 UTC,1,228.0,23.12,402.0,2.0,0.0,
2019-02-18 15:40:03 UTC,2,214.0,23.17,401.0,2.0,0.0,
2019-02-18 15:50:03 UTC,3,153.0,23.23,403.0,2.0,0.0,
2019-02-18 16:19:28 UTC,4,223.0,23.28,404.0,2.0,0.0,
2019-02-18 16:26:59 UTC,5,296.0,23.5,405.0,2.0,0.0,
2019-02-18 16:36:58 UTC,6,296.0,23.5,405.0,2.0,0.0,
2019-02-18 16:47:54 UTC,7,234.0,23.71,406.0,2.0,0.0,
2019-02-18 16:57:43 UTC,8,208.0,23.82,405.0,2.0,0.0,
2019-02-18 16:58:03 UTC,9,202.0,23.82,403.0,2.0,0.0,
2019-02-18 16:58:45 UTC,10,192.0,23.82,407.0,2.0,0.0,
2019-02-18 17:08:44 UTC,11,237.0,23.88,407.0,2.0,0.0,
2019-02-18 17:18:43 UTC,12,203.0,23.98,403.0,2.0,0.0,
2019-02-18 17:28:43 UTC,13,239.0,24.04,405.0,2.0,0.0,
2019-02-18 17:38:43 UTC,14,207.0,24.15,404.0,2.0,0.0,
2019-02-18 17:48:42 UTC,15,212.0,24.2,406.0,2.0,0.0,
2019-02-18 17:58:42 UTC,16,226.0,24.31,405.0,2.0,0.0,
2019-02-18 18:08:42 UTC,17,199.0,24.36,405.0,2.0,0.0,
2019-02-18 18:18:41 UTC,18,259.0,24.42,407.0,2.0,0.0,
2019-02-18 18:28:41 UTC,19,152.0,24.47,408.0,2.0,0.0,
2019-02-18 18:38:41 UTC,20,145.0,24.53,407.0,2.0,0.0,
2019-02-18 18:48:40 UTC,21,99.0,24.53,405.0,2.0,0.0,
2019-02-18 18:58:40 UTC,22,91.0,24.53,405.0,2.0,0.0,
2019-02-18 19:08:39 UTC,23,154.0,24.53,407.0,2.0,0.0,
2019-02-18 19:18:39 UTC,24,207.0,24.53,407.0,2.0,0.0,
2019-02-18 19:28:38 UTC,25,226.0,24.58,408.0,2.0,0.0,
2019-02-18 19:38:38 UTC,26,234.0,24.58,408.0,2.0,0.0,
2019-02-18 19:48:37 UTC,27,255.0,24.58,406.0,2.0,0.0,
2019-02-18 19:58:38 UTC,28,202.0,24.63,407.0,2.0,0.0,
2019-02-18 20:08:36 UTC,29,229.0,24.58,408.0,2.0,0.0,
2019-02-18 20:18:36 UTC,30,253.0,24.63,406.0,2.0,0.0,
2019-02-18 20:28:35 UTC,31,248.0,24.69,405.0,2.0,0.0,
2019-02-18 20:38:35 UTC,32,208.0,24.74,407.0,2.0,0.0,
2019-02-18 20:48:35 UTC,33,179.0,24.74,405.0,2.0,0.0,
2019-02-18 20:58:34 UTC,34,158.0,24.8,406.0,2.0,0.0,
2019-02-18 21:08:34 UTC,35,102.0,24.69,405.0,2.0,0.0,
2019-02-18 21:18:33 UTC,36,102.0,24.69,409.0,2.0,0.0,
2019-02-18 21:28:33 UTC,37,81.0,24.69,408.0,2.0,0.0,
2019-02-18 21:38:32 UTC,38,85.0,24.63,409.0,2.0,0.0,
2019-02-18 21:48:32 UTC,39,72.0,24.69,407.0,2.0,0.0,
2019-02-18 21:58:31 UTC,40,68.0,24.69,405.0,2.0,0.0,
2019-02-18 22:08:31 UTC,41,69.0,24.69,408.0,2.0,0.0,
2019-02-18 22:18:30 UTC,42,57.0,24.63,406.0,2.0,0.0,
2019-02-18 22:28:29 UTC,43,48.0,24.63,406.0,2.0,0.0,
2019-02-18 22:38:29 UTC,44,41.0,24.63,406.0,2.0,0.0,
2019-02-18 22:48:28 UTC,45,24.0,24.63,407.0,2.0,0.0,
2019-02-18 22:58:27 UTC,46,9.0,24.63,407.0,2.0,0.0,
2019-02-18 23:08:27 UTC,47,6.0,24.58,407.0,2.0,0.0,
2019-02-18 23:18:50 UTC,48,0.0,24.58,407.0,2.0,1.0,
2019-02-18 23:29:12 UTC,49,0.0,24.53,391.0,2.0,1.0,
2019-02-18 23:39:11 UTC,50,0.0,24.47,381.0,2.0,0.0,
2019-02-18 23:49:11 UTC,51,0.0,24.42,383.0,2.0,0.0,
2019-02-18 23:59:10 UTC,52,0.0,24.36,384.0,2.0,0.0,
2019-02-19 00:09:09 UTC,53,0.0,24.36,382.0,2.0,0.0,
2019-02-19 00:19:08 UTC,54,0.0,24.31,385.0,2.0,0.0,
2019-02-19 00:29:07 UTC,55,0.0,24.26,384.0,2.0,0.0,
2019-02-19 00:39:06 UTC,56,0.0,24.2,382.0,2.0,0.0,
2019-02-19 00:49:05 UTC,57,0.0,24.15,385.0,2.0,0.0,
2019-02-19 00:59:03 UTC,58,0.0,24.09,385.0,2.0,0.0,
2019-02-19 01:09:02 UTC,59,0.0,24.04,384.0,2.0,0.0,
2019-02-19 01:19:01 UTC,60,0.0,23.98,382.0,2.0,0.0,
2019-02-19 01:29:00 UTC,61,0.0,23.93,387.0,2.0,0.0,
2019-02-19 01:38:58 UTC,62,0.0,23.82,384.0,2.0,0.0,
2019-02-19 01:48:57 UTC,63,0.0,23.77,386.0,2.0,0.0,
2019-02-19 01:58:55 UTC,64,0.0,23.77,386.0,2.0,0.0,
2019-02-19 02:08:54 UTC,65,0.0,23.71,383.0,2.0,0.0,
2019-02-19 02:18:53 UTC,66,0.0,23.66,384.0,2.0,0.0,
2019-02-19 02:28:51 UTC,67,0.0,23.61,387.0,2.0,0.0,
2019-02-19 02:38:50 UTC,68,0.0,23.55,385.0,2.0,0.0,
2019-02-19 02:48:48 UTC,69,0.0,23.44,386.0,2.0,0.0,
2019-02-19 02:58:47 UTC,70,0.0,23.39,385.0,2.0,0.0,
2019-02-19 03:08:45 UTC,71,0.0,23.34,386.0,2.0,0.0,
2019-02-19 03:18:43 UTC,72,0.0,23.28,387.0,2.0,0.0,
2019-02-19 03:28:42 UTC,73,0.0,23.23,386.0,2.0,0.0,
2019-02-19 03:38:40 UTC,74,0.0,23.17,388.0,2.0,0.0,
2019-02-19 03:48:39 UTC,75,0.0,23.12,388.0,2.0,0.0,
2019-02-19 03:58:37 UTC,76,0.0,23.12,387.0,2.0,0.0,
2019-02-19 04:08:35 UTC,77,0.0,23.07,385.0,2.0,0.0,
2019-02-19 04:18:34 UTC,78,0.0,23.01,386.0,2.0,0.0,
2019-02-19 04:28:32 UTC,79,0.0,23.01,386.0,2.0,0.0,
2019-02-19 04:38:30 UTC,80,0.0,23.01,388.0,2.0,0.0,
2019-02-19 04:48:29 UTC,81,0.0,22.96,388.0,2.0,0.0,
2019-02-19 04:58:27 UTC,82,0.0,22.96,387.0,2.0,0.0,
2019-02-19 05:08:26 UTC,83,0.0,22.96,387.0,2.0,0.0,
2019-02-19 05:18:24 UTC,84,0.0,22.96,389.0,2.0,0.0,
2019-02-19 05:28:22 UTC,85,0.0,22.9,386.0,2.0,0.0,
2019-02-19 05:38:21 UTC,86,0.0,22.9,387.0,2.0,0.0,
2019-02-19 05:48:19 UTC,87,0.0,22.9,385.0,2.0,0.0,
2019-02-19 05:58:17 UTC,88,0.0,22.9,386.0,2.0,0.0,
