created_at,field1,field2,field3,field4,field5,Time
2018-11-01 00:14:49 UTC,0.0,24.36,382.0,2.0,0.0,31/10/18 19:14:49
2018-11-01 00:24:35 UTC,0.0,24.31,382.0,2.0,0.0,31/10/18 19:24:35
2018-11-01 00:34:20 UTC,0.0,24.26,380.0,2.0,0.0,31/10/18 19:34:20
2018-11-01 00:44:06 UTC,0.0,24.2,383.0,2.0,0.0,31/10/18 19:44:06
2018-11-01 00:53:51 UTC,0.0,24.15,383.0,2.0,0.0,31/10/18 19:53:51
2018-11-01 01:03:36 UTC,0.0,24.09,383.0,2.0,0.0,31/10/18 20:03:36
2018-11-01 01:13:22 UTC,0.0,24.04,379.0,2.0,0.0,31/10/18 20:13:22
2018-11-01 01:23:07 UTC,0.0,23.98,379.0,2.0,0.0,31/10/18 20:23:07
2018-11-01 01:32:52 UTC,0.0,23.93,385.0,2.0,0.0,31/10/18 20:32:52
2018-11-01 01:42:38 UTC,0.0,23.93,381.0,2.0,0.0,31/10/18 20:42:38
2018-11-01 01:52:23 UTC,0.0,23.88,382.0,2.0,0.0,31/10/18 20:52:23
2018-11-01 02:02:08 UTC,0.0,23.88,384.0,2.0,0.0,31/10/18 21:02:08
2018-11-01 02:11:54 UTC,0.0,23.82,383.0,2.0,0.0,31/10/18 21:11:54
2018-11-01 02:21:39 UTC,0.0,23.82,386.0,2.0,0.0,31/10/18 21:21:39
2018-11-01 02:31:24 UTC,0.0,23.77,384.0,2.0,0.0,31/10/18 21:31:24
2018-11-01 02:41:10 UTC,0.0,23.71,383.0,2.0,0.0,31/10/18 21:41:10
2018-11-01 02:50:55 UTC,0.0,23.71,384.0,2.0,0.0,31/10/18 21:50:55
2018-11-01 03:00:40 UTC,0.0,23.66,384.0,2.0,0.0,31/10/18 22:00:40
2018-11-01 03:10:26 UTC,0.0,23.66,373.0,2.0,0.0,31/10/18 22:10:26
2018-11-01 03:20:11 UTC,0.0,23.61,383.0,2.0,0.0,31/10/18 22:20:11
2018-11-01 03:29:56 UTC,0.0,23.61,379.0,2.0,0.0,31/10/18 22:29:56
2018-11-01 03:39:42 UTC,0.0,23.55,378.0,2.0,0.0,31/10/18 22:39:42
2018-11-01 03:49:27 UTC,0.0,23.5,383.0,2.0,0.0,31/10/18 22:49:27
2018-11-01 03:59:13 UTC,0.0,23.5,383.0,2.0,0.0,31/10/18 22:59:13
2018-11-01 04:08:58 UTC,0.0,23.44,383.0,2.0,0.0,31/10/18 23:08:58
2018-11-01 04:18:43 UTC,0.0,23.44,381.0,2.0,0.0,31/10/18 23:18:43
2018-11-01 04:28:28 UTC,0.0,23.39,385.0,2.0,0.0,31/10/18 23:28:28
2018-11-01 04:38:14 UTC,0.0,23.34,381.0,2.0,0.0,31/10/18 23:38:14
2018-11-01 04:47:59 UTC,0.0,23.34,385.0,2.0,0.0,31/10/18 23:47:59
2018-11-01 04:57:44 UTC,0.0,23.34,385.0,2.0,0.0,31/10/18 23:57:44
2018-11-01 05:07:29 UTC,0.0,23.28,385.0,2.0,0.0,01/11/18 00:07:29
2018-11-01 05:17:15 UTC,0.0,23.28,386.0,2.0,0.0,01/11/18 00:17:15
2018-11-01 05:26:59 UTC,0.0,23.23,386.0,2.0,0.0,01/11/18 00:26:59
2018-11-01 05:36:45 UTC,0.0,23.23,386.0,2.0,0.0,01/11/18 00:36:45
2018-11-01 05:46:30 UTC,0.0,23.17,385.0,2.0,0.0,01/11/18 00:46:30
2018-11-01 05:56:15 UTC,0.0,23.12,386.0,2.0,0.0,01/11/18 00:56:15
2018-11-01 06:06:00 UTC,0.0,23.12,387.0,2.0,0.0,01/11/18 01:06:00
2018-11-01 06:15:45 UTC,0.0,23.07,384.0,2.0,0.0,01/11/18 01:15:45
2018-11-01 06:25:30 UTC,0.0,23.01,388.0,2.0,0.0,01/11/18 01:25:30
2018-11-01 06:35:15 UTC,0.0,23.01,386.0,2.0,0.0,01/11/18 01:35:15
2018-11-01 06:45:00 UTC,0.0,23.01,386.0,2.0,0.0,01/11/18 01:45:00
2018-11-01 06:54:45 UTC,0.0,22.96,386.0,2.0,0.0,01/11/18 01:54:45
2018-11-01 07:04:30 UTC,0.0,22.96,387.0,2.0,0.0,01/11/18 02:04:30
2018-11-01 07:14:15 UTC,0.0,22.96,385.0,2.0,0.0,01/11/18 02:14:15
2018-11-01 07:24:01 UTC,0.0,22.9,387.0,2.0,0.0,01/11/18 02:24:01
2018-11-01 07:33:45 UTC,0.0,22.9,389.0,2.0,0.0,01/11/18 02:33:45
2018-11-01 07:43:31 UTC,0.0,22.85,376.0,2.0,0.0,01/11/18 02:43:31
2018-11-01 07:53:16 UTC,0.0,22.8,385.0,2.0,0.0,01/11/18 02:53:16
2018-11-01 08:03:01 UTC,0.0,22.74,386.0,2.0,0.0,01/11/18 03:03:01
2018-11-01 08:12:46 UTC,0.0,22.69,387.0,2.0,0.0,01/11/18 03:12:46
2018-11-01 08:22:31 UTC,0.0,22.58,387.0,2.0,0.0,01/11/18 03:22:31
2018-11-01 08:32:15 UTC,0.0,22.58,385.0,2.0,0.0,01/11/18 03:32:15
2018-11-01 08:42:00 UTC,0.0,22.47,388.0,2.0,0.0,01/11/18 03:42:00
2018-11-01 08:51:45 UTC,0.0,22.42,389.0,2.0,0.0,01/11/18 03:51:45
2018-11-01 09:01:29 UTC,0.0,22.36,387.0,2.0,0.0,01/11/18 04:01:29
2018-11-01 09:11:14 UTC,0.0,22.36,388.0,2.0,0.0,01/11/18 04:11:14
2018-11-01 09:20:59 UTC,0.0,22.31,381.0,2.0,0.0,01/11/18 04:20:59
2018-11-01 09:30:44 UTC,0.0,22.31,383.0,2.0,0.0,01/11/18 04:30:44
2018-11-01 09:40:28 UTC,0.0,22.31,379.0,2.0,0.0,01/11/18 04:40:28
2018-11-01 09:50:13 UTC,0.0,22.25,387.0,2.0,0.0,01/11/18 04:50:13
2018-11-01 09:59:58 UTC,0.0,22.25,387.0,2.0,0.0,01/11/18 04:59:58
2018-11-01 10:09:43 UTC,0.0,22.25,385.0,2.0,0.0,01/11/18 05:09:43
2018-11-01 10:19:27 UTC,0.0,22.2,387.0,2.0,0.0,01/11/18 05:19:27
2018-11-01 10:29:12 UTC,0.0,22.2,388.0,2.0,0.0,01/11/18 05:29:12
2018-11-01 10:38:57 UTC,0.0,22.15,390.0,2.0,0.0,01/11/18 05:38:57
2018-11-01 10:48:42 UTC,14.0,22.15,388.0,2.0,0.0,01/11/18 05:48:42
2018-11-01 10:58:26 UTC,13.0,22.09,388.0,2.0,0.0,01/11/18 05:58:26
2018-11-01 11:08:11 UTC,7.0,22.04,387.0,2.0,0.0,01/11/18 06:08:11
2018-11-01 11:17:56 UTC,7.0,22.04,384.0,2.0,0.0,01/11/18 06:17:56
2018-11-01 11:27:41 UTC,4.0,22.04,378.0,2.0,0.0,01/11/18 06:27:41
2018-11-01 11:37:26 UTC,24.0,22.04,384.0,2.0,0.0,01/11/18 06:37:26
2018-11-01 11:47:11 UTC,24.0,22.04,386.0,2.0,0.0,01/11/18 06:47:11
2018-11-01 11:56:55 UTC,19.0,22.04,387.0,2.0,0.0,01/11/18 06:56:55
2018-11-01 12:06:40 UTC,31.0,21.98,388.0,2.0,0.0,01/11/18 07:06:40
2018-11-01 12:16:25 UTC,44.0,21.98,381.0,2.0,0.0,01/11/18 07:16:25
2018-11-01 12:26:09 UTC,50.0,21.98,387.0,2.0,0.0,01/11/18 07:26:09
2018-11-01 12:35:54 UTC,72.0,21.98,387.0,2.0,0.0,01/11/18 07:35:54
2018-11-01 12:45:39 UTC,66.0,21.98,389.0,2.0,0.0,01/11/18 07:45:39
