created_at,entry_id,field1,field2,field3,field4,field5,field6
2019-04-11 00:11:55 -05,6828,0.0,22.15,360.0,2.0,0.0,""
2019-04-11 00:21:53 -05,6829,0.0,22.15,359.0,2.0,0.0,""
2019-04-11 00:31:51 -05,6830,0.0,22.09,361.0,2.0,0.0,""
2019-04-11 00:41:49 -05,6831,0.0,22.09,361.0,2.0,0.0,""
2019-04-11 00:51:48 -05,6832,0.0,22.15,361.0,2.0,0.0,""
2019-04-11 01:01:46 -05,6833,0.0,22.09,360.0,2.0,0.0,""
2019-04-11 01:11:44 -05,6834,0.0,22.04,359.0,2.0,0.0,""
2019-04-11 01:21:42 -05,6835,0.0,22.04,360.0,2.0,0.0,""
2019-04-11 01:31:40 -05,6836,0.0,22.04,359.0,2.0,0.0,""
2019-04-11 01:41:38 -05,6837,0.0,21.98,364.0,2.0,0.0,""
2019-04-11 01:51:36 -05,6838,0.0,21.98,361.0,2.0,0.0,""
2019-04-11 02:01:34 -05,6839,0.0,21.93,361.0,2.0,0.0,""
2019-04-11 02:11:32 -05,6840,0.0,21.93,361.0,2.0,0.0,""
2019-04-11 02:21:30 -05,6841,0.0,21.93,359.0,2.0,0.0,""
2019-04-11 02:31:28 -05,6842,0.0,21.93,361.0,2.0,0.0,""
2019-04-11 02:41:26 -05,6843,0.0,21.88,359.0,2.0,0.0,""
2019-04-11 02:51:24 -05,6844,0.0,21.88,360.0,2.0,0.0,""
2019-04-11 03:01:23 -05,6845,0.0,21.82,361.0,2.0,0.0,""
2019-04-11 03:11:21 -05,6846,0.0,21.82,359.0,2.0,0.0,""
2019-04-11 03:21:19 -05,6847,0.0,21.88,360.0,2.0,0.0,""
2019-04-11 03:31:17 -05,6848,0.0,21.88,360.0,2.0,0.0,""
2019-04-11 03:41:15 -05,6849,0.0,21.88,361.0,2.0,0.0,""
2019-04-11 03:51:13 -05,6850,0.0,21.88,361.0,2.0,0.0,""
2019-04-11 04:01:11 -05,6851,0.0,21.88,360.0,2.0,0.0,""
2019-04-11 04:11:09 -05,6852,0.0,21.88,359.0,2.0,0.0,""
2019-04-11 04:21:07 -05,6853,0.0,21.82,359.0,2.0,0.0,""
